year,real_disposable_personal_income_per_capita,personal_saving_rate,household_debt_service_ratio,student_loans_owned_securitized,food_at_home_cpi,gasoline_cpi,building_permits,rental_vacancy_rate,mortgage_30yr_rate,real_disposable_personal_income_per_capita_index,food_at_home_cpi_index,gasoline_cpi_index,building_permits_index
2000,35422.833333333336,4.291666666666667,,,167.85833333333332,128.53333333333333,1598.3333333333333,7.975,8.053461538461539,264.606210004731,533.4480932203389,486.7150520668981,159.30232558139534
2001,36102.333333333336,4.675,,,173.38333333333333,123.76666666666667,1637.1666666666667,8.425,6.967884615384615,269.68202982993455,551.0063559322034,468.66519406752917,163.17275747508307
2002,36861.416666666664,5.575,,,175.59166666666667,115.96666666666665,1749.0,8.95,6.537307692307692,275.35233186424637,558.0243644067797,439.1290627958346,174.3189368770764
2003,37450.583333333336,5.191666666666666,,,179.40833333333333,135.525,1888.4166666666667,9.775,5.826981132075471,279.7533676950275,570.1536016949152,513.1902808456928,188.21428571428572
2004,38303.25,4.6499999999999995,,,186.1916666666667,159.79999999999998,2057.5833333333335,10.175,5.839230769230769,286.12273100769403,591.7108050847457,605.1120227201009,205.07475083056482
2005,38395.166666666664,2.25,14.94922175,,189.78333333333333,194.82500000000002,2160.0833333333335,9.85,5.866730769230769,286.8093423968526,603.125,737.7406121804987,215.29069767441862
2006,39414.166666666664,2.775,15.22765925,500005.9925,193.10833333333335,219.49166666666667,1843.6666666666667,9.7,6.413269230769231,294.4212046512786,613.6917372881356,831.1454717576523,183.75415282392026
2007,39955.166666666664,2.525,15.67940175,565282.3025,201.25366666666665,238.03516666666667,1391.5,9.75,6.337307692307693,298.4624386842957,639.5773305084745,901.3638371726097,138.687707641196
2008,40205.583333333336,4.133333333333334,15.592594,645614.5675,214.13883333333334,276.4295833333333,895.8333333333334,10.025,6.027169811320754,300.3330345359926,680.5259533898304,1046.7513411170717,89.28571428571429
2009,39948.0,5.733333333333333,15.207933,734442.055,215.12208333333334,202.16058333333334,582.0,10.625,5.036538461538461,298.40890416075297,683.650688559322,765.5181445250868,58.006644518272424
2010,40359.916666666664,5.925,14.02084625,828126.7,215.8305,239.11183333333335,603.6666666666666,10.225,4.689807692307692,301.4858942755409,685.9020127118644,905.4408330703694,60.16611295681062
2011,40907.666666666664,6.55,13.015111749999999,925542.135,226.19883333333334,301.2998333333333,624.0,9.525,4.447884615384615,305.57755035980176,718.8522245762712,1140.927106342695,62.192691029900324
