year,cpi_all,real_median_family_income,avg_hourly_earnings_nominal,median_home_price_nominal,shelter_cpi,rent_cpi,medical_cpi,education_childcare_cpi,fertility_rate,female_labor_force_participation,young_adults_living_with_parents_pct,median_age_first_marriage,median_age_first_marriage_men,median_age_first_marriage_women,avg_hourly_earnings_real_2024,median_home_price_real_2024,home_price_to_family_income,home_price_work_years,income_index,home_price_index,rent_index,medical_index,education_childcare_index,wage_index,rent_to_wage_index,medical_to_wage_index,education_childcare_to_wage_index
1981,90.93333333333334,69470.0,7.433333333333334,68950.0,90.425,87.94166666666666,82.925,79.90833333333333,1.812,52.11666666666667,,23.55,24.8,22.3,25.6432152370479,237860.94492302055,3.423937597855485,4.459511900655398,142.47333880229695,128.68508379298302,226.99505269950527,372.55709472107816,133.66322832450516,100.0877499946979,73.99063034723859,114.99841962821753,105.65688597713967
1982,96.53333333333335,68570.0,7.864999999999999,69225.0,96.83333333333333,94.625,92.61666666666667,90.50833333333333,1.8275,52.63333333333333,,23.85,25.2,22.5,25.55838481526243,224956.03163846684,3.2806771421681034,4.2315638906548,140.62756357670222,121.7034002387475,244.24607442460743,416.09883938599774,151.3939224979091,99.75664931293385,75.24416186385385,121.38930352786983,113.10431739062908
1983,99.58333333333333,69030.0,8.198333333333332,75375.0,99.13333333333333,100.09166666666665,100.65833333333335,99.68333333333334,1.799,52.90833333333333,29.227777209118695,24.1,25.4,22.8,25.825628147838216,237439.32364016736,3.439654116183795,4.420164354856366,141.57095980311732,128.45698257977028,258.35663583566355,452.2276301010857,166.7410091998885,100.79972381085997,76.35508979012636,126.56515731054539,119.50506768331101
1984,103.93333333333334,71250.0,8.487499999999999,79950.0,103.925,105.29166666666667,106.97500000000001,109.76666666666667,1.8065,53.56666666666666,28.637202074043948,24.2,25.4,23.0,25.617509842046182,241310.15161962796,3.386809145538638,4.528718703976437,146.12387202625104,130.5511381505653,271.77887717788775,480.6065144140771,183.6074714245888,99.9874195515509,77.58537371134021,129.9249349587694,127.11009141038545
1985,107.60000000000001,72300.0,8.734166666666667,84275.0,109.76666666666667,111.75833333333333,113.61666666666667,119.71666666666665,1.844,54.458333333333336,28.057815752318017,24.4,25.5,23.3,25.463680954409334,245696.21743339527,3.3982879313056054,4.638888685019779,148.27727645611157,132.92404239909106,288.47063884706387,510.4455260202171,200.25090604962364,99.38701172026165,80.02470557625576,134.09437761722808,134.71702495524244
1986,109.69166666666666,75550.0,8.924166666666666,92025.0,115.77499999999999,118.27499999999999,122.16666666666667,129.59166666666667,1.8375,55.300000000000004,27.37117575617373,24.4,25.7,23.1,25.521489529995698,263174.72115019377,3.483450974853657,4.957638075809707,154.9425758818704,142.3800828436462,305.29146052914604,548.8581055784349,216.76888764984668,99.612643732759,82.88786009431318,141.11560822281723,142.72457062462124
1987,113.61666666666667,76830.0,9.141666666666667,104700.0,121.26666666666667,123.14999999999999,130.17499999999998,139.98333333333332,1.872,55.99166666666667,27.615849952241746,24.700000000000003,25.8,23.6,25.24034684123026,289079.0498753117,3.7625803706275116,5.506275857233013,157.5676784249385,156.39457653731083,317.8748117874811,584.8371396480717,234.15110119877332,98.51531881129833,84.25092507076715,146.78855830278005,150.5013139974978
1988,118.27499999999999,77010.0,9.435833333333333,112225.0,127.08333333333333,127.84166666666665,138.625,151.04166666666666,1.934,56.59166666666667,27.796610169491526,24.75,25.9,23.6,25.02645206204937,297651.88547171146,3.8651069402897216,5.718024578971325,157.93683347005742,161.0325639438739,329.98494299849426,622.8004492699363,252.64845274602732,97.68046846254416,84.73401904948939,151.44373018000474,157.3279378532402
1989,123.94166666666666,78410.0,9.804166666666667,120425.0,132.83333333333334,132.80833333333334,149.25,162.67499999999998,2.014,57.4,26.583123992623463,25.0,26.2,23.8,24.814488878056434,304797.43202447385,3.8872265275407965,5.90530909804178,160.80803937653815,164.89837410109192,342.8049042804904,670.5353800074877,272.1076108168386,96.85315730162097,84.71889539110205,156.92554822693307,163.07953794046142
1990,130.65833333333333,77260.0,10.1975,122300.0,139.975,138.40833333333333,162.80833333333334,175.6916666666667,2.081,57.525,26.774226488307974,25.0,26.1,23.9,24.48322256202564,293630.60743669875,3.8005514811894736,5.765930563675109,158.44954881050043,158.857013430283,357.25962572596256,731.4488955447398,293.880680234179,95.5601954045242,84.88562849189042,164.57843062079004,169.3350229902097
1991,136.16666666666666,75790.0,10.513333333333334,119975.0,146.275,143.31666666666666,177.01666666666665,191.34166666666667,2.0625,57.39166666666667,27.44111964841388,25.200000000000003,26.3,24.1,24.22041658914729,276396.11416768667,3.646867847574702,5.486393956392371,155.43478260869566,149.53298501035817,369.9290169929017,795.2826656682888,320.0585447449122,94.53444031619347,85.255402235674,173.56562815137195,178.87863023116486
1992,140.30833333333334,75220.0,10.770000000000001,121375.0,151.20000000000002,146.90833333333333,190.0583333333333,208.45833333333334,2.046,57.833333333333336,27.379084674346675,25.45,26.5,24.4,24.07931998574568,271367.4524855972,3.607650259048089,5.418139775730304,154.26579163248564,146.81243014946804,379.1998279199828,853.8749532010481,348.68971285196545,93.98372772279143,85.30929871902944,181.9119433570981,190.23608521504238
1993,144.475,74170.0,11.0475,126500.0,155.74166666666667,150.34166666666667,201.4,225.29166666666666,2.0195,57.93333333333334,27.25473009732213,25.5,26.5,24.5,23.987406099671226,274669.09903674223,3.703237144893383,5.505074242345118,152.1123872026251,148.59865303370995,388.0619488061949,904.8296518157991,376.84694730972956,93.62497964984424,85.11007900989745,187.92538826632693,200.43356909413163
1994,148.225,76170.0,11.334166666666667,130425.0,160.525,154.00833333333333,211.025,239.84166666666667,2.0015,58.791666666666664,27.574494593672593,25.6,26.7,24.5,23.987230926144566,276026.87392477656,3.623826623667803,5.5323279396876925,156.214109926169,149.33322244902632,397.5263497526349,948.0718831898164,401.1848341232228,93.62429593198827,84.98069329751294,191.92622206128272,207.98134441606084
1995,152.38333333333333,77920.0,11.6475,133475.0,165.70000000000002,157.775,220.45000000000002,253.83333333333334,1.978,58.949999999999996,27.272454055028778,25.7,26.9,24.5,23.9776838865799,274773.24376572244,3.5263506643444873,5.509394554790562,159.8031173092699,148.6549963446295,407.24887072488707,990.4155746911268,424.5887928631168,93.58703298737291,84.71710632222862,195.10454399754911,214.19300125047124
1996,156.85833333333332,79070.0,12.038333333333334,140250.0,171.025,161.95000000000002,228.26666666666665,267.14166666666665,1.976,59.275,27.83564726813765,25.950000000000003,27.1,24.8,24.07524685579699,280483.4588004038,3.5472803692981385,5.6010979882639855,162.16160787530762,151.74427819563593,418.0253818025382,1025.5335080494194,446.84973515472535,93.96782993430305,84.13568429978795,195.46370777149104,218.10449138695614
1997,160.525,81560.0,12.501666666666667,145000.0,176.29166666666666,166.66666666666666,234.59166666666667,280.3666666666667,1.971,59.80833333333334,27.83636307899819,25.9,26.8,25.0,24.43077348457319,283359.19119555625,3.4742421676747948,5.576179586311568,167.26825266611976,153.30007738055951,430.2000430200042,1053.9498315237738,468.9712851965431,95.35548198996263,83.3770409559427,193.4348254300307,220.41837967743137
1998,163.00833333333333,84380.0,13.005,151925.0,182.10833333333335,172.07500000000002,242.125,294.25,1.999,59.85,27.725195569669275,25.85,26.7,25.0,25.027215321302595,292369.0647973008,3.464909514070879,5.616367964983882,173.05168170631666,158.17450659709152,444.1600344160035,1087.7948333957318,492.19403401170894,97.68344753130023,82.7509646466946,191.9195768486197,222.3798624770319
1999,166.58333333333334,86370.0,13.485833333333334,160125.0,187.25,177.48333333333335,250.5583333333333,308.35833333333335,2.0075,60.041666666666664,28.172620340771548,26.0,26.9,25.1,25.395584948307487,301536.2817658829,3.491215488779471,5.708447611215949,177.13289581624284,163.13406010484465,458.12002581200255,1125.6832646948706,515.7931419013103,99.12122695141127,82.30864117478706,191.5230563644178,224.73320419861204
2000,172.1916666666667,86740.0,14.008333333333333,167550.0,193.34166666666667,183.92499999999998,260.75,323.925,2.056,59.94166666666666,27.69675673994838,25.950000000000003,26.8,25.1,25.52033190566068,305241.9948216619,3.519045363403988,5.750354642383197,177.89171452009845,165.1388868966074,474.7472574747257,1171.4713590415574,541.8316141622527,99.60812542201052,82.11451663718337,191.879178273893,227.2727371480097
2001,177.04166666666666,85960.0,14.536666666666667,173100.0,200.54166666666666,192.11666666666667,272.76666666666665,341.02500000000003,2.0305,59.791666666666664,26.758931837580786,26.0,26.9,25.1,25.757358528281166,306713.971193222,3.568101107413006,5.724913128604942,176.2920426579163,165.9352404248287,495.89158958915897,1225.458629726694,570.4349038193477,100.5332614132513,82.65437652367275,193.42671880413798,230.57420928859324
2002,179.86666666666667,85350.0,14.96,186025.0,208.08333333333334,199.66666666666666,285.6333333333333,362.05,2.0205,59.61666666666667,27.378461165195766,26.1,26.9,25.3,26.09112994810971,324438.6663500741,3.8012731851209622,5.978281828465652,175.04101722723544,175.52447283203523,515.3796515379652,1283.2646948708345,605.6035684415947,101.83600095329581,83.4717690156206,196.81912412542104,237.86267608520967
2003,184.0,85230.0,15.36,192125.0,213.125,205.51666666666665,297.05833333333334,386.59999999999997,2.0475,59.49166666666667,26.709706478492606,26.200000000000003,27.1,25.3,26.186977391304346,327550.32755887683,3.843134196396537,6.013527894631411,174.79491386382279,177.2079117989482,530.4796730479673,1334.5937850992136,646.6685252299972,102.21010204956693,83.67996215820312,199.3611474394273,247.37737475025554
2004,188.90833333333333,85320.0,15.683333333333332,218150.0,218.84166666666667,211.025,310.14166666666665,414.25,2.0515,59.15,27.819953374379818,26.35,27.4,25.3,26.04349330216007,362256.4121487494,4.245855744828287,6.687341616937792,174.97949138638228,195.9842409900203,544.6977844697784,1393.3732684387867,692.9188737106217,101.65007088694809,84.1513677883271,203.85048242801034,259.60525922070104
2005,195.26666666666665,86190.0,16.115,236550.0,224.40833333333333,217.34166666666667,323.22499999999997,440.8333333333333,2.057,59.23333333333333,26.928850641340052,26.200000000000003,27.1,25.3,25.888934563844316,380020.3208859679,4.409099905858776,7.057149335306332,176.76374077112388,205.5946883254569,561.0023661002366,1452.1527517783597,737.3850013939225,101.04681438353997,84.34868701724449,206.7591006819104,268.8644970952812
2006,201.5583333333333,87060.0,16.739166666666666,243750.0,232.13333333333333,225.09166666666667,336.19166666666666,468.02500000000003,2.108,59.35833333333333,27.603904001898606,26.5,27.5,25.5,26.052239111230556,379363.7646256254,4.357497870728525,7.0007965350724355,178.54799015586548,205.23948500528033,581.0066681006668,1510.4080868588542,782.8686925006971,101.68420655767645,84.09907650077426,207.03468546185326,274.8049559825965
2007,207.34416666666667,89170.0,17.4075,244950.0,240.60141666666667,234.67891666666665,351.0649166666667,494.05566666666664,2.12,59.300000000000004,28.18588287033644,26.55,27.5,25.6,26.336409285286543,370593.33358787524,4.156031553076991,6.765154277002618,182.8753076292043,200.49459654383614,605.753280275328,1577.22912766754,826.4103707833843,102.79334802351627,84.31470296236876,207.89355567913725,278.9515785530013
2008,215.25424999999998,86250.0,18.065,229550.0,246.654,243.27116666666666,364.0715,522.0820833333333,2.072,59.48333333333333,29.064485503541952,26.75,27.6,25.9,26.326808324729175,334531.9042868298,3.878630774340056,6.109082586386766,176.88679245283018,180.98501268675696,627.9315981931597,1635.663796330962,873.2903540563145,102.7558746204702,84.22059697164478,207.7488925819757,284.04697326557215
2009,214.56466666666665,84580.0,18.605833333333333,215650.0,249.35666666666668,248.81158333333335,375.60816666666665,548.97875,2.002,59.208333333333336,29.369314648502463,27.0,28.1,25.9,27.202129300438823,315284.9473895982,3.7276536697753393,5.5723322228002665,173.46185397867103,170.57222187790114,642.2325231232523,1687.494571321602,918.280596598829,106.17233024711759,83.63481720488882,208.10183044215248,289.9984989751576
2010,218.0761666666667,83640.0,19.051666666666666,222700.0,248.3936666666667,249.38541666666666,388.4231666666667,573.2071666666667,1.931,58.625,30.050738335157263,27.15,28.2,26.1,27.405438185333306,320349.4576436214,3.8300987284029344,5.619839437965586,171.5340442986054,173.31217116474318,643.7137018713702,1745.068513665294,958.8076386952887,106.96586290887294,81.86602856915519,210.165850880036,295.7113402344712
